Manager,NAME,Fund,CategoryID,Firm,Return,Year,age,size,dc
30000000000000020478,陈伟彦,000011.OF,4,华夏基金,-0.149481632,1,5.668493151,3062.53,0.641958 
30382072,夏钦,000017.OF,4,财通基金,-0.151666667,1,6.643835616,182.57,0.198601 
30000000000000020174,郑晓辉,000021.OF,4,华夏基金,-0.164809186,1,9.649315068,6506.94,0.023077 
30382395,张燕,000039.OF,4,农银汇理基金,-0.255531979,1,5.783561644,430.26,0.023077 
30380532,李湘杰,000041.OF,1,华夏基金,-0.135238095,1,6.605479452,5428.88,0.264336 
30383013,张自力,000043.OF,1,嘉实基金,0.013905683,1,9.553424658,102.46,0.023077 
30000000000000019998,赵宗庭,000051.OF,1,华夏基金,-0.225980015,1,5.709589041,11277.68,0.023077 
30000000000000018239,黄欣,000059.OF,1,国联安基金,-0.164504111,1,6.369863014,1607.11,0.264336 
30000000000000017812,赵晓东,000065.OF,4,国海富兰克林基金,-0.024178549,1,9.657534247,1525.59,0.023077 
30000000000000019720,徐猛,000071.OF,1,华夏基金,-0.089334549,1,7.032876712,835.61,0.198601 
30000000000000017049,郑可成,000072.OF,4,华安基金,0.025246981,1,9.638356164,2796.99,0.023077 
30000000000000016850,胡昕炜,000083.OF,4,汇添富基金,-0.183849821,1,6.734246575,4005.78,0.264336 
30000000000000021114,何家琪,000121.OF,4,华夏基金,-0.052070263,1,6.323287671,439.18,0.641958 
30000000000000020429,孙伟,000136.OF,4,民生加银基金,-0.127356676,1,8.490410959,752.81,0.264336 
30381649,田汉卿,000172.OF,4,华泰柏瑞基金,-0.132444815,1,9.419178082,5048.94,0.198601 
30000000000000016575,王栩,000173.OF,4,汇添富基金,-0.236598146,1,9.523287671,2559.92,0.198601 
30000000000000025818,李建,000190.OF,4,中银基金,0.006892231,1,9.312328767,415.89,0.264336 
30000000000000016564,张洋,000195.OF,4,工银瑞信,0.042815675,1,7.378082192,3285.98,0.023077 
30000000000000021212,张靖,000242.OF,4,景顺长城基金,-0.136066548,1,8.189041096,328.73,0.024476 
30000000000000018845,过蓓蓓,000248.OF,1,汇添富基金,-0.206085842,1,7.416438356,1590.94,0.641958 
30000000000000015975,陈雷,000264.OF,4,博时基金,-0.203723987,1,5.81369863,261.56,0.641958 
30000000000000022104,吴剑毅,000326.OF,1,南方基金,-0.00686368,1,7.180821918,1772.79,0.198601 
30381750,谭小兵,000339.OF,4,长城基金,-0.146525097,1,6.912328767,182.28,0.264336 
30000000000000016654,吴振翔,000368.OF,1,汇添富基金,-0.254523001,1,9.156164384,387.97,0.198601 
30381494,苏卿云,000373.OF,1,华安基金,-0.237687366,1,5.224657534,23.79,0.264336 
30249178,柳世庆,000408.OF,4,民生加银基金,-0.168996711,1,5.756164384,325.39,0.264336 
30382067,王霞,000423.OF,4,前海开源基金,-0.203910615,1,8.021917808,70.43,0.198601 
30000000000000024688,李博,000457.OF,1,上投摩根基金,-0.39118123,1,8.005479452,8443.35,0.264336 
30000000000000097421,周云,000480.OF,4,东证资管,-0.212476371,1,7.301369863,4491.55,0.000699 
30000000000000158407,赵治烨,000520.OF,4,上银基金,-0.134072022,1,7.64109589,214.3,0.023077 
30000000000000022082,章晖,000527.OF,4,南方基金,-0.173775671,1,7.6,1757.1,0.023077 
30000000000000025818,李建,000190.OF,4,中银基金,-0.002747253,1,9.312328767,819.42,0.264336 
30593893,王磊,000587.OF,4,大成基金,-0.232065687,1,5.564383562,298.15,0.198601 
30000000000000016913,陈栋,000589.OF,4,光大保德信基金,-0.198266522,1,7.720547945,192.37,0.198601 
30000000000000018234,陶灿,000592.OF,1,建信基金,-0.336387435,1,8.638356164,342.16,0.264336 
30000000000000097575,王延飞,000619.OF,4,东证资管,-0.218863362,1,7.520547945,5517.78,0.198601 
30380853,刘旭,000628.OF,1,大成基金,-0.157480315,1,7.430136986,284.84,0.264336 
30383011,张仲维,000698.OF,4,宝盈基金,-0.261606023,1,6.279452055,2562.1,0.023077 
30000000000000068496,万民远,000727.OF,4,融通基金,-0.163618864,1,6.350684932,105.27,0.198601 
30000000000000017728,徐林明,000753.OF,4,华宝基金,0.00887839,1,8.293150685,176.28,0.198601 
30000000000000015324,孙绍冰,000755.OF,4,富安达基金,-0.414224616,1,7.616438356,246.42,0.264336 
30000000000000018375,高靖瑜,000757.OF,4,华富基金,-0.2845953,1,5.649315068,110.21,0.641958 
30000000000000016682,顾耀强,000762.OF,4,汇添富基金,0.035911602,1,5.8,318.62,0.641958 
30000000000000016896,顾耀强,000762.OF,4,汇添富基金,0.035911602,1,5.8,318.62,0.641958 
30000000000000021675,袁航,000778.OF,1,鹏华基金,-0.270072993,1,8.161643836,1276.94,0.024476 
30000000000000015487,朱建明,000794.OF,4,宝盈基金,-0.175100402,1,5.989041096,64.66,0.000699 
30000000000000014752,冉凌浩,000834.OF,1,大成基金,0.039021164,1,8.136986301,227.88,0.264336 
30000000000000178234,李武群,000835.OF,1,华润元大基金,-0.176905575,1,5.416438356,262.46,0.264336 
30000000000000022440,李佳亮,000844.OF,4,南方基金,0.003371869,1,6.005479452,261.6,0.264336 
30381532,盛豪,000877.OF,4,华泰柏瑞基金,-0.214061774,1,7.221917808,1062.7,0.264336 
30381621,刘静,000932.OF,4,前海开源基金,0.027350427,1,7.967123288,3.43,0.264336 
30382111,徐成,000934.OF,4,国海富兰克林基金,-0.142642643,1,7.024657534,265.92,0.198601 
30000000000000026898,余海燕,000950.OF,1,易方达基金,-0.219010501,1,7.945205479,913.38,0.024476 
30000000000000013382,陈良栋,000976.OF,4,长城基金,-0.171600965,1,5.797260274,106.11,0.641958 
30380227,林开盛,000986.OF,4,太平基金,-0.177097204,1,5.649315068,1606.24,0.264336 
30000000000000016161,何肖颉,001008.OF,1,工银瑞信,-0.196996466,1,7.931506849,2269.07,0.641958 
30000000000000024683,陈思郁,001009.OF,1,上投摩根基金,-0.303448276,1,6.197260274,917.7,0.641958 
30000000000000017661,宋洋,001015.OF,1,华夏基金,-0.207188161,1,6.120547945,335.47,0.264336 
30382511,赵强,001040.OF,1,新华基金,-0.237179487,1,5.62739726,821.12,0.023077 
30000000000000016654,吴振翔,000368.OF,1,汇添富基金,-0.225066196,1,9.156164384,1378.85,0.198601 
30000000000000016782,吴振翔,001050.OF,1,汇添富基金,-0.225066196,1,7.876712329,1378.85,0.198601 
30000000000000019720,徐猛,000071.OF,1,华夏基金,-0.172916667,1,7.032876712,779.25,0.198601 
30000000000000020498,荣膺,001052.OF,1,华夏基金,-0.305847076,1,6.2,710.49,0.264336 
30000000000000022082,章晖,000527.OF,4,南方基金,-0.175019889,1,7.6,1320,0.023077 
30381649,田汉卿,000172.OF,4,华泰柏瑞基金,0.023764794,1,9.419178082,392.5,0.198601 
30381532,盛豪,000877.OF,4,华泰柏瑞基金,-0.234161548,1,7.221917808,1416.93,0.264336 
30000000000000021922,曲扬,001102.OF,4,前海开源基金,-0.283848797,1,7.654794521,473.24,0.264336 
30382645,张跃鹏,001110.OF,4,中欧基金,0.039387005,1,6.97260274,2.67,0.023077 
30000000000000025372,周蔚文,001117.OF,4,中欧基金,-0.221525601,1,6.084931507,1645.44,0.000699 
30000000000000021818,李君,001122.OF,4,鹏华基金,0.013875387,1,7.616438356,920.8,0.264336 
30382645,张跃鹏,001110.OF,4,中欧基金,0.024706083,1,6.97260274,2.1,0.023077 
30000000000000023935,张鹏,001150.OF,4,融通基金,-0.246031746,1,7.345205479,2101.94,0.024476 
30000000000000022241,吴华,001170.OF,4,宏利基金,-0.316793893,1,7.701369863,1560.61,0.198601 
30381341,邱杰,001178.OF,1,前海开源基金,-0.157079646,1,7.62739726,791.98,0.264336 
30243212,黎莹,001179.OF,4,德邦基金,-0.163172607,1,7.580821918,259.06,0.264336 
30000000000000021818,李君,001122.OF,4,鹏华基金,0.020801714,1,7.616438356,1304.19,0.264336 
30000000000000072235,纪文静,001202.OF,4,东证资管,-0.015846539,1,7.471232877,755.92,0.264336 
30000000000000020925,陈国光,001210.OF,4,天弘基金,-0.272874852,1,6.860273973,977.76,0.189510 
30000000000000016012,桂征辉,001242.OF,1,博时基金,-0.283986995,1,7.452054795,1165.93,0.641958 
30000000000000016161,何肖颉,001008.OF,1,工银瑞信,-0.305626598,1,7.931506849,1297.99,0.641958 
30000000000000024792,许定晴,001252.OF,4,中海基金,-0.220415537,1,6.42739726,60.57,0.198601 
30000000000000014777,孙蓓琳,001280.OF,4,银华基金,-0.229700073,1,5.147945205,386.47,0.264336 
30000000000000072235,纪文静,001202.OF,4,东证资管,-0.010662605,1,7.471232877,880.96,0.264336 
30000000000000018427,郭晨,001313.OF,1,上投摩根基金,-0.337333333,1,7.567123288,1815.82,0.641958 
30391651,李君,001316.OF,4,安信基金,0.050050471,1,5.016438356,101.23,#N/A
30000000000000015502,刘元海,001323.OF,4,东吴基金,-0.296903461,1,6.682191781,254.39,0.264336 
30000000000000022104,吴剑毅,000326.OF,1,南方基金,-0.017376195,1,7.180821918,323.27,0.198601 
