Manager,NAME,Uni,Frim,degree,major,DB
30000000000000020478,陈伟彦,厦门大学,华夏基金,硕士研究生,统计学,1
30382072,夏钦,上海交通大学,财通基金,硕士研究生,会计学,1
30000000000000020174,郑晓辉,北京大学,华夏基金,博士研究生,金融学,1
30382395,张燕,北京大学,农银汇理基金,硕士研究生,西方经济学,1
30380532,李湘杰,国立台湾大学,华夏基金,硕士研究生,管理学,1
30383013,张自力,中国科学技术大学,嘉实基金,博士研究生,理论物理学,0
30000000000000019998,赵宗庭,对外经济贸易大学,华夏基金,硕士研究生,经济学,1
30000000000000018239,黄欣,伦敦经济学院,国联安基金,硕士研究生,会计金融,1
30000000000000017812,赵晓东,香港大学,国海富兰克林基金,MBA/EMBA,MBA,1
30000000000000019720,徐猛,清华大学,华夏基金,硕士研究生,工学,0
30000000000000017049,郑可成,厦门大学,华安基金,硕士研究生,金融,1
30000000000000016850,胡昕炜,清华大学,汇添富基金,硕士研究生,工学,0
30000000000000021114,何家琪,清华大学,华夏基金,硕士研究生,应用经济学,1
30000000000000020429,孙伟,北京大学,民生加银基金,硕士研究生,工商管理,1
30381649,田汉卿,美国加州大学伯克利分校哈斯商学院,华泰柏瑞基金,MBA/EMBA,MBA,1
30000000000000016575,王栩,同济大学,汇添富基金,硕士研究生,管理学,1
30000000000000025818,李建,上海财经大学,中银基金,本科,"金融学,经济学",1
30000000000000016564,张洋,宾夕法尼亚大学,工银瑞信,博士研究生,电子工程,0
30000000000000021212,张靖,武汉大学,景顺长城基金,硕士研究生,"金融学,经济学",1
30000000000000018845,过蓓蓓,中国科学技术大学,汇添富基金,博士研究生,金融工程,1
30000000000000015975,陈雷,上海社会科学院,博时基金,硕士研究生,西方经济学,1
30000000000000022104,吴剑毅,清华大学,南方基金,硕士研究生,金融学,1
30381750,谭小兵,暨南大学,长城基金,硕士研究生,"会计学,管理学",1
30000000000000016654,吴振翔,中国科学技术大学,汇添富基金,博士研究生,管理学,1
30381494,苏卿云,伦敦商学院,华安基金,硕士研究生,"会计学,金融学",1
30249178,柳世庆,北京大学,民生加银基金,硕士研究生,金融学,1
30382067,王霞,北京交通大学,前海开源基金,硕士研究生,经济学,1
30000000000000024688,李博,清华大学,上投摩根基金,硕士研究生,工学,0
