Stock,证券名称,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,PB_Y1,PB_Y2,PB_Y3,PB_Y4,PB_Y5
430047.BJ,诺思兰德,0,0,14879.58,148.54,-46.1,2171.72,3920.84,1320.24,0,0,0.07,0.1,0.07,0.39,0.27
430090.BJ,同辉信息,0,0,0,1202.11,-52.02,381.93,716.76,0,0,0,0.02,0.02,0.02,0.03,0.04
430139.BJ,华岭股份,0,0,0,0,-84.67,1191.01,0,0,0,0,0.03,0.02,0.03,0.03,0.14
430198.BJ,微创光电,0,0,-11.09,6.76,-49.98,304.43,642.57,589.87,0,0,0.07,0.02,0.03,0.02,0.02
430300.BJ,辰光医疗,0,0,0,0,203.95,319.98,0,0,0,0,0.02,0.01,0.02,0.01,0.03
430418.BJ,苏轴股份,0,0,-48.81,53.55,-25.28,489.12,636.65,430.54,0,0,0.03,0.02,0.02,0.02,0.02
430425.BJ,乐创技术,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0.02,0.09
430476.BJ,海能技术,0,0,0,0,436.37,930.59,0,0,0,0,0.01,0.01,0.01,0.01,0.02
430478.BJ,峆一药业,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.01,0.03,0.03
430489.BJ,佳先股份,0,0,-27.66,97.03,-33.97,512.68,820.57,443.34,0,0,0.02,0.02,0.02,0.02,0.03
430510.BJ,丰光精密,0,0,0,265.42,-57.52,569.48,852.88,253.63,0,0,0.05,0.04,0.02,0.03,0.09
430556.BJ,雅达股份,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.04,0.03
430564.BJ,天润科技,0,0,0,0,-36.49,99.98,0,0,0,0,0.02,0.01,0.01,0.01,0.05
430685.BJ,新芝生物,0,0,0,0,-4.1,556.23,0,0,0,0,0.02,0.02,0.03,0.09,0.13
430718.BJ,合肥高科,0,0,0,0,-99.98,101.99,0,0,0,0,0.01,0,0,0.01,0.01
830799.BJ,艾融软件,0,0,-16.37,31.53,-38.98,716.32,553.48,363.12,0,0,0.12,0.1,0.07,0.05,0.07
830809.BJ,安达科技,0,0,0,0,0,0,0,0,0,0,0.04,0.03,0,0.01,0.05
830832.BJ,齐鲁华信,0,0,0,25.71,-20.54,789.07,915.24,0,0,0,0.02,0.01,0.02,0.02,0.02
830839.BJ,万通液压,0,0,1720.52,17.34,-29.52,415.99,284.65,208.75,0,0,0.01,0.01,0.01,0.04,0.03
830879.BJ,基康仪器,0,0,0,0,-97.64,309.44,0,0,0,0,0.01,0,0.01,0.01,0.03
830896.BJ,旺成科技,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01
830946.BJ,森萱医药,0,0,-20.14,286,-52.59,3831.71,1429.6,352.28,0,0,0,0.05,0.02,0.02,0.08
830964.BJ,润农节水,0,0,-48.79,49.07,-34.36,571.45,879.21,496.67,0,0,0.04,0.01,0.01,0.01,0.02
830974.BJ,凯大催化,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0.02,0.06,0.05
831010.BJ,凯添燃气,0,0,-48.7,92.71,-41.27,608.81,576.32,321.7,0,0,0.03,0.01,0.03,0.02,0.03
831039.BJ,国义招标,0,0,0,584.06,-42.05,729.11,390.88,0,0,0,0.02,0.01,0.01,0.02,0.02
831087.BJ,秋乐种业,0,0,0,0,-60.68,362.59,0,0,0,0,0.01,0.01,0.05,0.11,0.11
831152.BJ,昆工科技,0,0,0,0,1656.9,737.23,0,0,0,0,0.02,0.02,0.02,0.03,0.05
831167.BJ,鑫汇科,0,0,0,0,-54.92,179.49,0,0,0,0,0.01,0.01,0.01,0.03,0.06
831195.BJ,三祥科技,0,0,0,0,-100,284.15,0,0,0,0,0.01,0.01,0.01,0.01,0.03
831278.BJ,泰德股份,0,0,0,0,-36.98,174.63,0,0,0,0,0.04,0.02,0.01,0.01,0.04
831304.BJ,迪尔化工,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01
831305.BJ,海希通讯,0,0,0,387.39,-44.39,436.41,498.09,0,0,0,0.04,0.03,0.04,0.04,0.05
831370.BJ,新安洁,0,0,-11.8,-7.61,-40.31,778.35,762.94,735.91,0,0,0.03,0.04,0.03,0.02,0.02
831445.BJ,龙竹科技,0,0,-9.7,147.88,-55.4,590.64,1297.35,553.84,0,0,0.04,0.02,0.05,0.02,0.06
831526.BJ,凯华材料,0,0,0,0,187.39,86.85,0,0,0,0,0.02,0.01,0,0.02,0.04
831641.BJ,格利尔,0,0,0,0,193.92,248.19,0,0,0,0,0.01,0.01,0.02,0.02,0.02
831689.BJ,克莱特,0,0,0,0,-24.36,236.65,0,0,0,0,0.02,0.02,0.01,0.01,0.03
831726.BJ,朱老六,0,0,0,204.19,-36.48,258.9,436.61,0,0,0,0.01,0,0,0.09,0.04
831768.BJ,拾比佰,0,0,0,200.7,-54.92,411.63,628.32,0,0,0,0.02,0.02,0.02,0.02,0.02
831832.BJ,科达自控,0,0,0,1882.95,-42.29,464.28,754.99,0,0,0,0.04,0.04,0.05,0.04,0.05
831834.BJ,三维股份,0,0,0,0,-57.95,101.37,0,0,0,0,0,0,0,0.02,0.07
831855.BJ,浙江大农,0,0,0,0,-100,129.47,0,0,0,0,0,0.02,0.02,0.01,0.06
831856.BJ,浩淼科技,0,0,53.6,67.18,-42.14,266.74,221.63,103.97,0,0,0.04,0.01,0.02,0.01,0.02
831906.BJ,舜宇精工,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.04
831961.BJ,创远信科,0,0,18.3,44.15,-46.32,885.83,1636.06,1101.41,0,0,0.02,0.01,0.02,0.03,0.04
832000.BJ,安徽凤凰,0,0,0,63.19,-46.69,160.1,319.72,185.1,0,0,0.01,0.01,0.01,0.02,0.02
832023.BJ,田野股份,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01
832089.BJ,禾昌聚合,0,0,0,838.17,-30.8,593.16,416.44,0,0,0,0,0.01,0.01,0.01,0.02
832110.BJ,雷特科技,0,0,0,0,-95.27,124.14,0,0,0,0,0.04,0.01,0.02,0.06,0.07
832145.BJ,恒合股份,0,0,0,3019.9,-61.04,138.31,278.52,0,0,0,0.03,0.03,0.02,0.03,0.06
832149.BJ,利尔达,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0.03,0.02,0.08
832171.BJ,志晟信息,0,0,0,69179.27,-61.08,286.12,348.59,0,0,0,0.03,0.01,0.01,0.02,0.05
832225.BJ,利通科技,0,0,0,91.62,-16.07,339.5,389.99,0,0,0,0.01,0.01,0.01,0.01,0.02
832278.BJ,鹿得医疗,0,0,96.66,81.35,-55.36,414.57,689.46,397.22,0,0,0.04,0.01,0.02,0.03,0.06
832419.BJ,路斯股份,0,0,0,0,-21.1,277.87,0,0,0,0,0.02,0.02,0.02,0.03,0.03
832491.BJ,奥迪威,0,0,0,0,-19.76,863.6,0,0,0,0,0.05,0.01,0.01,0.01,0.04
832566.BJ,梓橦宫,0,0,0,140.6,-30.07,776.25,710.8,0,0,0,0.02,0.01,0.02,0.03,0.02
832662.BJ,方盛股份,0,0,0,0,48.02,135.16,0,0,0,0,0,0.01,0.01,0.04,0.03
832735.BJ,德源药业,0,0,0,48.9,-29.45,807.68,503.94,0,0,0,0.04,0.02,0.03,0.05,0.03
832802.BJ,保丽洁,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.02,0.06,0.02
832876.BJ,慧为智能,0,0,0,0,-71.51,121.8,0,0,0,0,0.03,0.01,0.01,0.02,0.05
832885.BJ,星辰科技,0,0,0,684.29,-49.36,467.13,591.81,0,0,0,0.02,0.02,0.02,0.04,0.05
833075.BJ,柏星龙,0,0,0,0,-98.74,196.86,0,0,0,0,0.02,0.02,0.02,0.02,0.03
833171.BJ,国航远洋,0,0,0,0,-98.77,785.84,0,0,0,0,0.06,0.04,0.03,0.03,0.08
833230.BJ,欧康医药,0,0,0,0,-97.41,159.1,0,0,0,0,0.01,0.02,0.02,0.02,0.09
833266.BJ,生物谷,0,0,-29.35,27.57,-54.34,655.05,972.78,780.56,0,0,0.02,0.01,0.01,0.02,0.02
833346.BJ,威贸电子,0,0,0,0,-24.18,197.87,0,0,0,0,0.09,0.05,0.04,0.03,0.04
833394.BJ,民士达,0,0,0,0,0,0,0,0,0,0,0,0.01,0.04,0.12,0.07
833427.BJ,华维设计,0,0,0,33.29,-40.13,190.6,221.31,0,0,0,0.01,0,0,0.09,0.03
833429.BJ,康比特,0,0,0,0,-91.68,332.47,0,0,0,0,0.03,0.03,0.03,0.03,0.03
833454.BJ,同心传动,0,0,0,698790.45,-55.71,348.96,404,0,0,0,0.01,0.01,0.02,0.02,0.08
833509.BJ,同惠电子,0,0,0,254.37,-32.15,730.52,722.98,0,0,0,0.04,0.03,0.05,0.13,0.08
833523.BJ,德瑞锂电,0,0,0,559.05,-56.91,536.68,1057.33,0,0,0,0.02,0.01,0.03,0.04,0.06
833533.BJ,骏创科技,0,0,0,0,60.88,307.1,0,0,0,0,0.05,0.04,0.04,0.04,0.06
833575.BJ,康乐卫士,0,0,0,0,0,0,0,0,0,0,0.13,0.17,0.17,0.76,0.27
