Stock,BM_Y1,BM_Y2,BM_Y3,BM_Y4,BM_Y5,MarketCap_Y1,MarketCap_Y2,MarketCap_Y3,MarketCap_Y4,MarketCap_Y5,Return_Y1,Return_Y2,Return_Y3,Return_Y4,Return_Y5
430047.BJ,0,0,0.10360676,0.035503531,0.052920336,0,0,2682.234142,6824.847886,3749.799854,0,0,0.752491694,1.514691943,-0.451564267
430090.BJ,0,0,0,0.27038676,0.526757333,0,0,0,1249.668001,542.1872451,0,0,0,1.734899329,-0.561896442
430139.BJ,0,0,0,0,0.40298411,0,0,0,0,2550.608,0,0,0,0,-0.291851852
430198.BJ,0,0,0.440215942,0.436879839,0.833332153,0,0,1191.610138,1233.812997,756.7965597,0,0,-0.04950495,0.056700231,-0.502312676
430300.BJ,0,0,0,0,0.544975684,0,0,0,0,543.381319,0,0,0,0,0.083333333
430418.BJ,0,0,0.591246549,0.433237,0.670084467,0,0,872.092,1289.6,923.676,0,0,-0.251211073,0.521182994,-0.264053125
430476.BJ,0,0,0,0,0.37838312,0,0,0,0,1290.749188,0,0,0,0,0.456801471
430489.BJ,0,0,0.614276588,0.357562137,0.624948403,0,0,704.47062,1336.44729,831.036528,0,0,-0.130526316,0.943193826,-0.366126994
430510.BJ,0,0,0.392564277,0.114079153,0.330102461,0,0,840.8050054,2802.683351,1190.811471,0,0,0,2.525666667,-0.575117371
430564.BJ,0,0,0,0,0.681012673,0,0,0,0,465.6016134,0,0,0,0,-0.217391304
430685.BJ,0,0,0,0,0.408159074,0,0,0,0,1359.011724,0,0,0,0,-0.01
430718.BJ,0,0,0,0,0.98714231,0,0,0,0,463.306837,0,0,0,0,-0.213846154
830799.BJ,0,0,0.214965749,0.155286702,0.276337766,0,0,1713.3965,2188.961838,1285.19985,0,0,-0.074336775,0.312336841,-0.398826367
830832.BJ,0,0,0,0.630715108,0.870918163,0,0,0,1161.45355,876.9876268,0,0,0,0.214128286,-0.230802389
830839.BJ,0,0,0.399254556,0.362263678,0.584131234,0,0,995.078,1148.4,785.559,0,0,0.5725,0.169852623,-0.300123197
830879.BJ,0,0,0,0,0.714719022,0,0,0,0,805.8864202,0,0,0,0,-0.126153846
830946.BJ,0,0,0.44960698,0.133391018,0.283442487,0,0,2091.899866,7513.762784,3833.726693,0,0,-0.092592593,2.713959184,-0.482068295
830964.BJ,0,0,0.856326195,0.625858003,1.032800036,0,0,919.45216,1342.60912,848.926,0,0,-0.25106383,0.4681125,-0.359041829
831010.BJ,0,0,0.674953041,0.388396544,0.707579208,0,0,841.855,1498.455,886.41,0,0,-0.250521921,0.891724791,-0.401115493
831039.BJ,0,0,0,0.412349844,0.797395105,0,0,0,1365.9216,729.1068,0,0,0,1.013605442,-0.435416892
831087.BJ,0,0,0,0,0.527580915,0,0,0,0,926.772,0,0,0,0,-0.065
831152.BJ,0,0,0,0,0.285183111,0,0,0,0,1594.126156,0,0,0,0,1.531034483
831167.BJ,0,0,0,0,0.583200101,0,0,0,0,443.8485161,0,0,0,0,-0.378049704
831195.BJ,0,0,0,0,0.796526454,0,0,0,0,765.6143,0,0,0,0,-0.29
831278.BJ,0,0,0,0,0.798602239,0,0,0,0,453.96302,0,0,0,0,-0.219211823
831305.BJ,0,0,0,0.378883277,0.693861739,0,0,0,1989.5881,1058.963,0,0,0,0.296617916,-0.444035777
831370.BJ,0,0,0.481882864,0.538479354,0.849621552,0,0,1702.9168,1562.028,891.2748,0,0,-0.052810903,-0.072643885,-0.422907059
831445.BJ,0,0,0.39254224,0.176333561,0.399542721,0,0,945.694008,2217.317966,963.6754628,0,0,-0.043132537,1.401935231,-0.549744941
831526.BJ,0,0,0,0,0.561240896,0,0,0,0,329.6,0,0,0,0,0.03
831641.BJ,0,0,0,0,0.469611933,0,0,0,0,789.03825,0,0,0,0,0.094791667
831689.BJ,0,0,0,0,0.66242073,0,0,0,0,619.496,0,0,0,0,-0.193901852
831726.BJ,0,0,0,0.245568287,0.444623631,0,0,0,1767.714,1033.758,0,0,0,0.940675556,-0.392781971
831768.BJ,0,0,0,0.511964299,1.17807036,0,0,0,1364.931,594.7992,0,0,0,0.757142857,-0.556993821
831832.BJ,0,0,0,0.397596614,0.72783169,0,0,0,1437.405,851.61975,0,0,0,0.519230769,-0.431736203
831834.BJ,0,0,0,0,0.734340342,0,0,0,0,458.4000191,0,0,0,0,-0.265384615
831855.BJ,0,0,0,0,1.076106857,0,0,0,0,477.5459979,0,0,0,0,-0.148
831856.BJ,0,0,0.875429039,0.562927484,1.048764305,0,0,446.2965,734.4302845,418.1049787,0,0,0.00862069,0.645630769,-0.432956962
831961.BJ,0,0,0.326671027,0.247438131,0.462647399,0,0,2028.361121,2863.295076,1531.250246,0,0,0.075302555,0.41640767,-0.461901267
832000.BJ,0,0,0.806153192,0.546106717,1.103087731,0,0,557.784,886.2985549,461.4204,0,0,0,0.603864167,-0.476935412
832089.BJ,0,0,0,0.555929163,0.907144165,0,0,0,1526.0516,1006.247,0,0,0,0.418,-0.323015162
832110.BJ,0,0,0,0,0.521704975,0,0,0,0,618.54,0,0,0,0,-0.207
832145.BJ,0,0,0,0.313335649,0.827531073,0,0,0,913.6225,344.284,0,0,0,0.61875,-0.61758888
832171.BJ,0,0,0,0.340759765,0.844706679,0,0,0,1135.308447,426.9935811,0,0,0,1.498529412,-0.619709123
832225.BJ,0,0,0,0.520234274,0.767566072,0,0,0,767.2084484,622.9602381,0,0,0,0.72683303,-0.181583563
832278.BJ,0,0,0.301112621,0.169465667,0.389515078,0,0,1227.6,2140.16,999.68,0,0,0.339330526,0.787812625,-0.532894737
832419.BJ,0,0,0,0,0.685531518,0,0,0,0,612.727524,0,0,0,0,-0.171943333
