Manager,Fund,1,2,3,4,5
30000000000000020478,000011.OF,3062.53 ,3347.46 ,5469.05 ,7138.18 ,5407.69 
30382072,000017,182.57 ,116.46 ,151.84 ,1032.83 ,283.99 
30000000000000020174,000021,6506.94 ,4507.35 ,5924.76 ,8096.65 ,7463.49 
30382395,000039,430.26 ,313.51 ,358.32 ,312.06 ,312.47 
30380532,000041,5428.88 ,3923.69 ,3891.74 ,3589.20 ,2635.24 
30383013,000043,102.46 ,473.25 ,530.31 ,988.05 ,1652.26 
30000000000000019998,000051,11277.68 ,11939.53 ,16117.29 ,11955.46 ,10884.29 
30000000000000018239,000059,1607.11 ,1476.15 ,1908.89 ,1340.92 ,200.91 
30000000000000017812,000065,1525.59 ,1406.15 ,1305.04 ,1485.69 ,988.68 
30000000000000019720,000071,835.61 ,899.40 ,1077.99 ,2189.39 ,3108.90 
30000000000000017049,000072,2796.99 ,1733.74 ,282.88 ,647.58 ,939.99 
30000000000000016850,000083,4005.78 ,3577.37 ,8286.42 ,17695.82 ,21860.76 
30000000000000021114,000121,439.18 ,328.38 ,426.76 ,972.49 ,2137.42 
30000000000000020429,000136,752.81 ,512.82 ,579.81 ,3209.98 ,2874.22 
30381649,000172,5048.94 ,4076.85 ,3297.75 ,1839.55 ,1247.54 
30000000000000016575,000173,2559.92 ,2911.81 ,5941.90 ,2832.70 ,1868.78 
30000000000000025818,000190,415.89 ,622.02 ,501.65 ,7939.40 ,4514.43 
30000000000000016564,000195,3285.98 ,2457.50 ,126.73 ,1012.39 ,466.28 
30000000000000021212,000242,328.73 ,161.08 ,166.40 ,231.70 ,1967.02 
30000000000000018845,000248,1590.94 ,1507.82 ,2959.74 ,5094.78 ,5363.26 
30000000000000015975,000264,261.56 ,198.04 ,245.22 ,343.90 ,385.96 
30000000000000022104,000326,1772.79 ,203.34 ,184.24 ,225.79 ,295.74 
30381750,000339,182.28 ,97.17 ,212.61 ,867.19 ,1194.67 
30000000000000016654,000368,387.97 ,266.99 ,342.04 ,461.41 ,250.95 
30381494,000373,23.79 ,36.89 ,33.65 ,43.11 ,44.61 
30249178,000408,325.39 ,222.64 ,445.81 ,1348.72 ,847.42 
30382067,000423,70.43 ,63.64 ,89.85 ,77.82 ,46.14 
30000000000000024688,000457,8443.35 ,3575.02 ,3389.05 ,1648.61 ,1468.63 
30000000000000097421,000480,4491.55 ,3722.56 ,3140.00 ,1525.63 ,1537.83 
30000000000000158407,000520,214.30 ,167.35 ,352.09 ,356.82 ,538.98 
30000000000000022082,000527,1757.10 ,3642.32 ,2413.27 ,6528.28 ,5789.60 
30000000000000025818,000572,819.42 ,529.82 ,604.27 ,2053.08 ,1386.91 
30593893,000587,298.15 ,179.78 ,192.56 ,172.51 ,238.87 
30000000000000016913,000589,192.37 ,128.81 ,229.33 ,206.74 ,129.65 
30000000000000018234,000592,342.16 ,132.34 ,173.24 ,747.11 ,1019.41 
30000000000000097575,000619,5517.78 ,7949.79 ,7404.55 ,6181.63 ,5090.27 
30380853,000628,284.84 ,432.36 ,770.11 ,2074.40 ,4561.61 
30383011,000698,2562.10 ,1678.24 ,2766.05 ,2051.19 ,1491.12 
30000000000000068496,000727,105.27 ,88.69 ,155.81 ,2102.45 ,1383.49 
30000000000000017728,000753,176.28 ,98.65 ,97.92 ,2653.08 ,434.68 
30000000000000015324,000755,246.42 ,107.74 ,161.28 ,129.52 ,111.58 
30000000000000018375,000757,110.21 ,82.44 ,82.62 ,67.37 ,54.89 
30000000000000016682,000762,318.62 ,1266.22 ,8309.64 ,18241.01 ,22662.86 
30000000000000016896,000762,318.62 ,1266.22 ,8309.64 ,18241.01 ,22662.86 
30000000000000021675,000778,1276.94 ,339.59 ,184.23 ,474.82 ,360.78 
30000000000000015487,000794,64.66 ,45.69 ,56.24 ,67.53 ,54.43 
30000000000000014752,000834,227.88 ,214.14 ,535.76 ,1175.64 ,1625.85 
30000000000000178234,000835,262.46 ,408.86 ,271.20 ,312.38 ,246.70 
30000000000000022440,000844,261.60 ,381.47 ,360.55 ,1459.37 ,277.89 
30381532,000877,1062.70 ,573.31 ,979.05 ,568.52 ,561.34 
30381621,000932,3.43 ,4.19 ,265.99 ,581.81 ,431.12 
